source_line,answer_words,soru,cevap
6821,5,Mal rejimi tasfiyesi sonrası kalan mallar nasıl paylaşılır?,Kalan mallar miras olarak paylaşılır.
6822,5,Sağ kalan eşin miras payı nasıl hesaplanır?,Çocukları varsa miras payı 1/4'tür.
6863,4,Kişisel veri koruması kimler için geçerlidir?,Gerçek kişiler için geçerlidir.
6877,3,Kişisel verilerin kaydedildiği sistem nedir?,Veri kayıt sistemi.
6879,3,Kişisel verilerin işlendiği kayıt sistemi nedir?,Veri kayıt sistemi.
6908,4,Bilgisayarda kişisel veri işlemek ne demektir?,Otomatik yolla işlenmesi demektir.
6911,4,Bilgisayar ortamında veri işleme nasıl yapılır?,Otomatik sistemlerle kaydedilerek yapılır.
7011,5,Manuel olarak kişisel veri işleme ne demektir?,Otomatik olmayan yolla işlenmesi demektir.
7064,5,Kvk kanunu'na göre ilgili kişi kimdir?,Kişisel verisi işlenen gerçek kişidir.
7067,5,İlgili kişi hangi kişidir?,Kişisel verisi işlenen gerçek kişidir.
7135,4,Veri sorumluları sicili kimin gözetiminde tutulur?,Kvk kurulunun gözetiminde tutulur.
7175,4,Kişisel verileri koruma kurumunun merkezi nerededir?,Kvk kurumunun merkezi ankara'dadır.
7178,4,Kişisel verileri koruma kurumu hangi şehirde bulunmaktadır?,Kvk kurumu ankara'da bulunmaktadır.
7467,5,Dinlenme hakkı kimlere aittir?,"Dinlenmek, çalışanların hakkıdır. (madde 50)"
7472,5,Çalışanların dinlenme hakkı nedir?,"Dinlenmek, çalışanların hakkıdır. (madde 50)"
7500,5,Ücret neyin karşılığıdır?,Ücret emeğin karşılığıdır. (madde 55)
7810,5,Anayasanın halkoylaması sonucu kabul edilmesi ile birlikte yürürlüğe girecek hükümleri belirlemek hangi maddede düzenlenmiştir?,Bu düzenlemeler madde 177'de belirtilmiştir.
7813,5,Geçici madde 20'nin konusu nedir?,Yasama dokunulmazlığının kaldırılmasına ilişkin dosyalar.
7814,4,Geçici madde 21 ne zaman eklendi?,21 ocak 2017 tarihinde.
7815,4,Geçici madde 21'in a fıkrasına göre 27. yasama dönemi milletvekili genel seçimi ve cumhurbaşkanlığı seçimi ne zaman yapılacak?,3 kasım 2019 tarihinde.
7817,5,"Geçici madde 21'in e fıkrasına göre, askerî yargıtay ve askerî yüksek i̇dare mahkemesi ne zaman kaldırılmıştır?",Bu kanunun yürürlüğe girdiği tarihte.
7819,4,"Anayasanın değiştirilmesi tekliflerinin kabulü, hangi maddedeki kayıtlar dışında kanunların görüşülmesi ve kabulü hakkındaki hükümlere tabidir?",Madde 175'teki kayıtlar dışında.
8386,5,Sigorta primleri eksik yatırıldıysa ne yapmalıyım?,Sgk'ya başvurmalı ve işverenle görüşmelisiniz.
8389,4,İşveren sigortalı çalıştırmak zorunda mı?,"Evet, sigortalı çalıştırmak zorunludur."
8420,5,İlgili mahkeme kararına itiraz süresi nedir?,İtiraz süresi genellikle 15 gündür.
8623,4,"5 kardeşiz, birimiz yüksek vergi borcu nedeniyle miras paylaşımı yapamıyoruz. ne yapmalıyız?",İzale-i şuyu davası açabilirsiniz.
8627,3,Kiracım kira ödemiyor ve kaçtı. ne yapabilirim?,İcra takibi başlatın.
8632,3,Kiracım kira ödemiyor ve kaçtı. ne yapmalıyım?,İcra takibi başlatabilirsiniz.
8634,4,Anneme ait malların paylaşımında ne yapmalıyım?,Miras taksim sözleşmesi yapabilirsiniz.
8636,3,Eski nişanlım borcunu ödemiyor. elimde senet var. ne yapmalıyım?,Senedi icraya koyabilirsiniz.
8637,4,Kardeşim miras payını vermiyor. ne yapmalıyım?,İzale-i şuyu davası açabilirsiniz.
8639,3,Nişanlım borcunu ödemiyor. elimde senet var. ne yapmalıyım?,Senedi icraya koyabilirsiniz.
8657,5,"Komşum sürekli gürültü yapıyor, rahatsız oluyorum. ne yapabilirim?",Belediyeye veya kaymakamlığa şikayette bulunabilirsiniz.
8661,5,Eşim evde şiddet uyguluyor. ne yapmalıyım?,Polise başvurarak koruma talebinde bulunabilirsiniz.
9005,4,Anayasanın 1. Maddesi Nedir?,Türkiye Devleti bir Cumhuriyettir.
9020,3,Anayasanın 21. Maddesi Nedir?,Kimsenin konutuna dokunulamaz.
9021,4,Anayasanın 22. Maddesi Nedir?,"Herkes, haberleşme hürriyetine sahiptir."
9027,4,Anayasanın 28. Maddesi Nedir?,"Basın hürdür, sansür edilemez."
9047,5,Anayasanın 49. Maddesi Nedir?,"Çalışma, herkesin hakkı ve ödevidir."
9053,3,Anayasanın 55. Maddesi Nedir?,Ücret emeğin karşılığıdır.
9057,5,Anayasanın 60. Maddesi Nedir?,"Herkes, sosyal güvenlik hakkına sahiptir."
9083,5,Anayasanın 88. Maddesi Nedir?,"Kanun teklif etmeye, milletvekilleri yetkilidir."
9101,5,Anayasanın 108. Maddesi Nedir?,"Cumhurbaşkanı, doğrudan halk tarafından seçilir."
9142,4,Anayasanın 153. Maddesi Nedir?,Anayasa Mahkemesinin kararları kesindir.
9165,2,Türkiye Devleti Hangi Anayasa Maddesinde Cumhuriyet Olarak Tanımlanır?,1. maddede.
9166,4,Anayasanın 1. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9168,5,Anayasanın 1. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9170,4,Anayasanın 1. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9173,5,Anayasanın 2. Maddesi Hangi Konuyu Ele Alır?,Türkiye Cumhuriyeti'nin niteliklerini ele alır.
9174,2,Türkiye Cumhuriyeti Hangi Anayasa Maddesinde Tanımlanır?,2. maddede.
9175,4,Anayasanın 2. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9177,5,Anayasanın 2. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9179,4,Anayasanın 2. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9182,2,Türkiye Devleti'nin Dili Hangi Anayasa Maddesinde Belirtilmiştir?,3. maddede.
9183,4,Anayasanın 3. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9185,4,Anayasanın 3. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9187,5,Anayasanın 4. Maddesi Hangi Konuyu Ele Alır?,Anayasanın değiştirilemez hükümlerini ele alır.
9188,5,Anayasanın Hangi Maddeleri Değiştirilemez?,"1, 2 ve 3. maddeleri."
9189,4,Anayasanın 4. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9191,5,Anayasanın 4. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9193,4,Anayasanın 4. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9197,2,Devletin Temel Amaç ve Görevleri Hangi Anayasa Maddesinde Belirtilmiştir?,5. maddede.
9198,4,Anayasanın 5. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9200,5,Anayasanın 5. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9202,4,Anayasanın 5. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9205,4,Anayasanın 6. Maddesi Hangi Konuyu Ele Alır?,Egemenlik hakkını ele alır.
9206,2,Egemenlik Hakkı Hangi Anayasa Maddesinde Belirtilmiştir?,6. maddede.
9207,4,Anayasanın 6. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9209,5,Anayasanın 6. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9211,4,Anayasanın 6. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9214,4,Anayasanın 7. Maddesi Hangi Konuyu Ele Alır?,Yasama yetkisini ele alır.
9215,2,Yasama Yetkisi Hangi Anayasa Maddesinde Belirtilmiştir?,7. maddede.
9216,4,Anayasanın 7. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9217,5,Anayasanın 7. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9218,4,Anayasanın 7. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9221,2,Yürütme Yetkisi Hangi Anayasa Maddesinde Belirtilmiştir?,8. maddede.
9222,4,Anayasanın 8. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9224,5,Anayasanın 8. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9226,4,Anayasanın 8. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9229,4,Anayasanın 9. Maddesi Hangi Konuyu Ele Alır?,Yargı yetkisini ele alır.
9230,2,Yargı Yetkisi Hangi Anayasa Maddesinde Belirtilmiştir?,9. maddede.
9231,4,Anayasanın 9. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9233,5,Anayasanın 9. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9235,4,Anayasanın 9. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9239,2,Kanun Önünde Eşitlik Hangi Anayasa Maddesinde Belirtilmiştir?,10. maddede.
9240,4,Anayasanın 10. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9242,5,Anayasanın 10. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9244,4,Anayasanın 10. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9247,2,Anayasa Hükümlerinin Bağlayıcılığı Hangi Anayasa Maddesinde Belirtilmiştir?,11. maddede.
9249,5,Anayasanın 11. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9253,2,Temel Hak ve Hürriyetler Hangi Anayasa Maddesinde Belirtilmiştir?,12. maddede.
9254,4,Anayasanın 12. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9256,5,Anayasanın 12. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9257,4,Anayasanın 12. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9261,2,Temel Hak ve Hürriyetlerin Sınırlanması Hangi Anayasa Maddesinde Belirtilmiştir?,13. maddede.
9262,4,Anayasanın 13. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9264,5,Anayasanın 13. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9266,4,Anayasanın 13. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9269,5,Anayasanın 14. Maddesi Hangi Konuyu Ele Alır?,Anayasa hükümlerinin yorumlanmasını ele alır.
9270,2,Anayasa Hükümlerinin Yorumlanması Hangi Anayasa Maddesinde Belirtilmiştir?,14. maddede.
9271,4,Anayasanın 14. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9273,5,Anayasanın 14. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9275,4,Anayasanın 14. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9279,2,Temel Hak ve Hürriyetlerin Durdurulması Hangi Anayasa Maddesinde Belirtilmiştir?,15. maddede.
9280,4,Anayasanın 15. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9282,5,Anayasanın 15. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9284,4,Anayasanın 15. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9288,2,Yabancıların Temel Hak ve Hürriyetleri Hangi Anayasa Maddesinde Belirtilmiştir?,16. maddede.
9289,4,Anayasanın 16. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9291,5,Anayasanın 16. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9293,4,Anayasanın 16. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9297,2,Yaşama Hakkı Hangi Anayasa Maddesinde Belirtilmiştir?,17. maddede.
9298,4,Anayasanın 17. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9300,5,Anayasanın 17. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9302,4,Anayasanın 17. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9305,5,Anayasanın 18. Maddesi Hangi Konuyu Ele Alır?,Zorla çalıştırma yasağını ele alır.
9306,2,Zorla Çalıştırma Yasağı Hangi Anayasa Maddesinde Belirtilmiştir?,18. maddede.
9307,4,Anayasanın 18. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9309,5,Anayasanın 18. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9313,2,Kişi Hürriyeti ve Güvenliği Hangi Anayasa Maddesinde Belirtilmiştir?,19. maddede.
9314,4,Anayasanın 19. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9316,5,Anayasanın 19. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9318,4,Anayasanın 19. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9322,2,Özel Hayat ve Aile Hayatı Hangi Anayasa Maddesinde Belirtilmiştir?,20. maddede.
9324,5,Anayasanın 20. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9326,4,Anayasanın 20. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9329,2,Konut Dokunulmazlığı Hangi Anayasa Maddesinde Belirtilmiştir?,21. maddede.
9330,4,Anayasanın 21. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9332,5,Anayasanın 21. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9334,4,Anayasanın 21. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9335,4,Anayasanın 21. Maddesinin Kapsamı Nedir?,Kimsenin konutuna dokunulamayacağını belirtir.
9337,2,Haberleşme Hürriyeti Hangi Anayasa Maddesinde Belirtilmiştir?,22. maddede.
9338,4,Anayasanın 22. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9340,5,Anayasanın 22. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9342,4,Anayasanın 22. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9348,4,Anayasanın 23. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9351,2,"Vicdan, Dinî İnanç ve Kanaat Hürriyeti Hangi Anayasa Maddesinde Belirtilmiştir?",24. maddede.
9353,5,Anayasanın 24. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9355,4,Anayasanın 24. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9359,2,Düşünce ve Kanaat Hürriyeti Hangi Anayasa Maddesinde Belirtilmiştir?,25. maddede.
9360,4,Anayasanın 25. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9362,5,Anayasanın 25. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9364,4,Anayasanın 25. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9368,4,Anayasanın 26. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9370,5,Anayasanın 26. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9372,4,Anayasanın 26. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9376,2,Bilim ve Sanat Hürriyeti Hangi Anayasa Maddesinde Belirtilmiştir?,27. maddede.
9377,4,Anayasanın 27. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9379,5,Anayasanın 27. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9381,4,Anayasanın 27. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9384,4,Anayasanın 28. Maddesi Hangi Konuyu Ele Alır?,Basın hürriyetini ele alır.
9385,2,Basın Hürriyeti Hangi Anayasa Maddesinde Belirtilmiştir?,28. maddede.
9386,4,Anayasanın 28. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9388,5,Anayasanın 28. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9390,4,Anayasanın 28. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9392,2,Süreli ve Süresiz Yayın Hakkı Hangi Anayasa Maddesinde Belirtilmiştir?,29. maddede.
9394,5,Anayasanın 29. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9396,4,Anayasanın 29. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9398,5,Anayasanın 30. Maddesi Hangi Konuyu Ele Alır?,Basın araçlarının korunmasını ele alır.
9399,2,Basın Araçlarının Korunması Hangi Anayasa Maddesinde Belirtilmiştir?,30. maddede.
9400,4,Anayasanın 30. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9402,5,Anayasanın 30. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9404,4,Anayasanın 30. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9405,4,Anayasanın 30. Maddesinin Kapsamı Nedir?,Basın araçlarının korunmasını düzenler.
9408,2,Radyo ve Televizyon Yayınlarından Yararlanma Hakkı Hangi Anayasa Maddesinde Belirtilmiştir?,31. maddede.
9409,4,Anayasanın 31. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9411,5,Anayasanın 31. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9413,4,Anayasanın 31. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9417,2,Düzeltme ve Cevap Hakkı Hangi Anayasa Maddesinde Belirtilmiştir?,32. maddede.
9418,4,Anayasanın 32. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9420,5,Anayasanın 32. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9422,4,Anayasanın 32. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9423,5,Anayasanın 32. Maddesinin Kapsamı Nedir?,Düzeltme ve cevap hakkını düzenler.
9425,5,Anayasanın 33. Maddesi Hangi Konuyu Ele Alır?,Dernek kurma hakkını ele alır.
9426,2,Dernek Kurma Hakkı Hangi Anayasa Maddesinde Belirtilmiştir?,33. maddede.
9427,4,Anayasanın 33. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9429,5,Anayasanın 33. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9431,4,Anayasanın 33. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9435,2,Toplantı ve Gösteri Yürüyüşü Düzenleme Hakkı Hangi Anayasa Maddesinde Belirtilmiştir?,34. maddede.
9436,4,Anayasanın 34. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
9437,5,Anayasanın 34. Maddesi Hangi Tarihte Yürürlüğe Girmiştir?,7 Kasım 1982'de yürürlüğe girmiştir.
9439,4,Anayasanın 34. Maddesi Hangi Mahkemeler Tarafından Yorumlanır?,Anayasa Mahkemesi tarafından yorumlanır.
9443,2,Mülkiyet ve Miras Hakkı Hangi Anayasa Maddesinde Belirtilmiştir?,35. maddede.
9444,4,Anayasanın 35. Maddesi Hangi Yılda Kabul Edilmiştir?,1982 yılında kabul edilmiştir.
